0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,1,0,25,1,0,0,0,0,0,0,0,1,20.95,495.15,0,1,0,1,0,0,0,0,0,1
0,0,0,0,40,1,1,0,0,1,1,1,1,1,80.75,3208.65,0,1,0,0,0,0,1,1,0,0
1,0,1,1,54,1,0,0,0,0,0,0,0,0,20.4,1090.6,0,0,1,0,1,0,0,0,0,1
1,1,0,0,9,1,1,0,0,0,0,0,1,1,84.4,732.5,1,0,0,0,1,0,0,0,1,0
1,0,0,0,26,1,0,0,1,0,0,1,0,1,85.75,2146.5,1,0,0,0,0,1,0,0,1,0
1,0,0,0,9,1,0,0,0,1,0,0,0,1,73.8,704.3,1,0,0,0,0,1,0,0,1,0
1,1,1,0,63,1,1,1,1,1,0,1,1,0,108.5,6991.9,0,0,1,0,1,0,0,0,1,0
1,0,0,0,71,1,1,0,0,0,0,0,0,0,25.55,1898.1,0,0,1,1,0,0,0,0,0,1
0,1,1,0,15,1,1,0,0,1,1,0,0,1,83.05,1258.3,1,0,0,0,0,1,0,0,1,0
1,0,0,0,6,1,0,0,0,0,0,0,0,0,20.65,109.3,1,0,0,0,0,0,1,0,0,1
0,0,0,0,7,1,0,0,1,0,0,1,1,1,94.05,633.45,0,1,0,0,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,0,0,0,0,1,45.0,45,1,0,0,0,0,1,0,1,0,0
0,0,1,1,27,1,0,0,0,0,0,0,0,1,20.55,583.3,0,1,0,0,0,0,1,0,0,1
1,0,1,0,72,1,1,1,1,1,1,1,1,1,115.8,8424.9,0,0,1,1,0,0,0,0,1,0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,20.35,176.3,0,1,0,0,0,0,1,0,0,1
1,0,0,1,12,1,0,0,0,0,0,0,0,0,19.35,212.3,0,0,1,1,0,0,0,0,0,1
1,0,1,1,51,1,1,0,0,0,0,0,0,1,23.95,1216.35,0,1,0,0,0,0,1,0,0,1
